condition,strategy,correct,abstain,hallucination,exact,f1
clean,S0_baseline,0.61,0.07,0.32,0.0,0.091
clean,S1_consistency,0.62,0.06,0.32,0.0,0.053
clean,S2_abstention,0.46,0.42,0.12,0.02,0.122
clean,S3_combined,0.37,0.48,0.15,0.0,0.056
entity_swap,S0_baseline,0.59,0.05,0.36,0.0,0.084
entity_swap,S1_consistency,0.59,0.07,0.34,0.0,0.044
entity_swap,S2_abstention,0.38,0.52,0.1,0.02,0.106
entity_swap,S3_combined,0.3,0.59,0.11,0.0,0.044
contradiction,S0_baseline,0.54,0.07,0.39,0.0,0.066
contradiction,S1_consistency,0.57,0.1,0.33,0.0,0.038
contradiction,S2_abstention,0.16,0.75,0.09,0.01,0.052
contradiction,S3_combined,0.17,0.78,0.05,0.0,0.028
